MONTH,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35
1,53165.0,16217.0,11178.0,4729.0,,,
2,33492.0,6921.0,18330.0,5946.0,3941.0,3077.0,1650.0
3,60522.0,4484.0,7150.0,2291.0,1410.0,2048.0,
4,76228.0,1614.0,,,,,
5,85154.0,,,,,,
6,82508.0,,,,,,
7,86818.0,,,,,,
8,82421.0,,,,,,
9,80486.0,,,,,,
10,81043.0,,,,,,
11,76195.0,360.0,,,,,
12,58979.0,13029.0,9027.0,3761.0,719.0,,
