INDEX,NAME,ADDRESS,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUN_NAME,OBJECTID,geometry
426,FIRE STATION 426,140 LANSDOWNE AVE,309716.107,4833684.693,43.6450950212,-79.4388699574,Parkdale-High Park (14),former Toronto,1578612.0,POINT (-79.438869957382 43.6450950212192)
431,FIRE STATION 431,308 PRINCE EDWARD DR S,304393.0,4833832.948,43.6464446428,-79.5048503156,Etobicoke-Lakeshore (5),Etobicoke,2663266.0,POINT (-79.504850315589 43.646444642807)
432,FIRE STATION 432,155 THE EAST MALL,300801.075,4831268.329,43.6233495814,-79.5493569812,Etobicoke-Lakeshore (5),Etobicoke,2609714.0,POINT (-79.549356981239 43.6233495814189)
433,FIRE STATION 433,615 ROYAL YORK RD,304546.954,4831786.882,43.6280271119,-79.5029414344,Etobicoke-Lakeshore (5),Etobicoke,1918334.0,POINT (-79.50294143439901 43.6280271118627)
434,FIRE STATION 434,3 LUNNESS RD,301232.829,4828960.534,43.6025788988,-79.5439922168,Etobicoke-Lakeshore (6),Etobicoke,1977909.0,POINT (-79.5439922167668 43.6025788987981)
435,FIRE STATION 435,130 EIGHTH ST,304221.386,4828798.407,43.6011270881,-79.5069732669,Etobicoke-Lakeshore (6),Etobicoke,2012378.0,POINT (-79.50697326690209 43.6011270881455)
441,FIRE STATION 441,947 MARTIN GROVE RD,298986.916,4839226.217,43.6949690459,-79.571922949,Etobicoke North (2),Etobicoke,1959089.0,POINT (-79.57192294898429 43.6949690458857)
442,FIRE STATION 442,2015 LAWRENCE AVE W,303785.997,4839850.245,43.7005987,-79.512384416,York South-Weston (11),York,3234576.0,POINT (-79.512384416 43.7005987)
443,FIRE STATION 443,1724 ISLINGTON AVE,301675.515,4837348.214,43.6780795989,-79.5385569302,Etobicoke Centre (4),Etobicoke,3035181.0,POINT (-79.5385569301575 43.6780795988953)
444,FIRE STATION 444,666 RENFORTH DR,298114.094,4835061.631,43.6574753124,-79.5826992849,Etobicoke Centre (3),Etobicoke,2238015.0,POINT (-79.5826992849434 43.6574753124366)
445,FIRE STATION 445,280 BURNHAMTHORPE RD,301145.64,4834157.446,43.6493567555,-79.5451063707,Etobicoke-Lakeshore (5),Etobicoke,2544120.0,POINT (-79.5451063706618 43.6493567555108)
111,FIRE STATION 111,3300 BAYVIEW AVE,313342.971,4849801.689,43.7901356097,-79.3936591253,Willowdale (24),North York,3311708.0,POINT (-79.3936591252677 43.7901356096716)
112,FIRE STATION 112,5700 BATHURST ST,309269.267,4848259.985,43.776285518,-79.444286046,York Centre (10),North York,3311629.0,POINT (-79.444286046 43.776285518)
113,FIRE STATION 113,700 SENECA HILL DR,316788.777,4850145.909,43.7931865426,-79.350836236,Don Valley East (33),North York,2788036.0,POINT (-79.35083623600281 43.7931865426257)
114,FIRE STATION 114,12 CANTERBURY PL,311598.61,4847856.472,43.7726444542,-79.4153580234,Willowdale (23),North York,3311726.0,POINT (-79.41535802335351 43.7726444541791)
115,FIRE STATION 115,115 PARKWAY FOREST DR,317609.322,4848061.67,43.774412158,-79.3406893014,Don Valley East (33),North York,1783376.0,POINT (-79.34068930136949 43.7744121579956)
116,FIRE STATION 116,255 ESTHER SHINER BLVD,315647.778,4847474.127,43.7691545504,-79.3650668886,Willowdale (24),North York,2607109.0,POINT (-79.36506688862529 43.769154550443)
121,FIRE STATION 121,10 WILLIAM CARSON CRES,312291.814,4845180.264,43.7485486794,-79.4067839985,Don Valley West (25),North York,1662173.0,POINT (-79.4067839984821 43.748548679379)
122,FIRE STATION 122,2545 BAYVIEW AVE,314148.535,4845194.262,43.7486532157,-79.3837291961,Don Valley West (25),North York,3074276.0,POINT (-79.3837291961448 43.7486532156743)
123,FIRE STATION 123,143 BOND AVE,317128.916,4844884.591,43.7458226103,-79.3467292588,Don Valley East (34),North York,2108616.0,POINT (-79.3467292588476 43.7458226103261)
125,FIRE STATION 125,1109 LESLIE ST,316941.699,4842142.616,43.7211443869,-79.349115421,Don Valley West (25),North York,2981001.0,POINT (-79.3491154210392 43.7211443869048)
131,FIRE STATION 131,3135 YONGE ST,312667.085,4842700.789,43.7262256032,-79.4021605344,Don Valley West (25),former Toronto,2119715.0,POINT (-79.4021605343805 43.7262256032299)
132,FIRE STATION 132,476 LAWRENCE AVE W,310539.582,4841985.486,43.7198067398,-79.428575122,Eglinton-Lawrence (16),North York,1852933.0,POINT (-79.4285751220436 43.7198067397901)
133,FIRE STATION 133,1505 LAWRENCE AVE W,306219.982,4840581.919,43.7071934405,-79.4821881501,York South-Weston (12),North York,2829802.0,POINT (-79.4821881500624 43.7071934405258)
134,FIRE STATION 134,16 MONTGOMERY AVE,312861.757,4840861.295,43.7096653477,-79.3997715519,Eglinton-Lawrence (16),former Toronto,1662464.0,POINT (-79.3997715519149 43.7096653476785)
135,FIRE STATION 135,325 CHAPLIN CRES,311329.229,4840133.874,43.7031330456,-79.4187973699,Eglinton-Lawrence (16),former Toronto,2443740.0,POINT (-79.41879736990209 43.7031330455545)
141,FIRE STATION 141,4100 KEELE ST,305370.192,4847207.091,43.766821511,-79.492723591,York West (8),North York,4149403.0,POINT (-79.492723591 43.766821511)
142,FIRE STATION 142,2753 JANE ST,303626.926,4844892.092,43.7459912998,-79.514373931,York Centre (9),North York,2982185.0,POINT (-79.51437393101141 43.7459912997596)
143,FIRE STATION 143,1009 SHEPPARD AVE W,308027.696,4845411.741,43.75066274,-79.4597300587,York Centre (10),North York,3083829.0,POINT (-79.4597300586946 43.7506627399944)
145,FIRE STATION 145,20 BEFFORT RD,308003.882,4843645.466,43.7347641022,-79.4600354748,York Centre (9),North York,3186765.0,POINT (-79.46003547475669 43.7347641021825)
146,FIRE STATION 146,2220 JANE ST,303996.599,4842402.43,43.723581448,-79.5097793738,York West (7),North York,3072600.0,POINT (-79.5097793738184 43.7235814480263)
211,FIRE STATION 211,900 TAPSCOTT RD,325466.636,4853590.517,43.8240013422,-79.2428732386,Scarborough-Rouge River (42),Scarborough,1520443.0,POINT (-79.2428732386084 43.8240013421891)
212,FIRE STATION 212,8500 SHEPPARD AVE E,329838.107,4851487.882,43.8049408598,-79.1886231884,Scarborough-Rouge River (42),Scarborough,2303629.0,POINT (-79.1886231884088 43.8049408598337)
213,FIRE STATION 213,7 LAPSLEY RD,326837.049,4850419.039,43.7954152218,-79.2259650983,Scarborough-Rouge River (42),Scarborough,2458686.0,POINT (-79.22596509831 43.7954152218359)
